Orthogroup	Branchiostoma_floridae	Capitella_teleta	Crassostrea_ariakensis	Crassostrea_gigas	Cyclina_sinensis	Drosophila_melanogaster	Homo_sapiens	Mytilus_coruscus	Nautilus_pompilius	Nematostella_vectensis	Patinopecten_yessoensis	Pomacea_canaliculata	Sinonovacula_constricta	Sinonovacula_rivularis	Tegillarca_granosa	Total
OG0000132	1	13	5	4	27	0	0	4	1	0	1	1	48	84	11	200
OG0000133	0	0	0	0	0	0	199	0	0	1	0	0	0	0	0	200
OG0000134	6	0	26	18	0	0	0	63	0	19	6	0	19	20	20	197
OG0000135	8	0	2	2	4	0	0	174	0	1	0	1	0	3	1	196
OG0000136	0	33	5	5	5	0	0	93	0	21	11	0	9	3	11	196
OG0000137	2	5	13	15	13	2	4	45	1	9	33	6	18	12	17	195
OG0000138	2	20	10	12	21	1	2	13	8	2	22	27	21	19	15	195
OG0000139	17	17	13	12	17	3	3	17	6	11	16	19	17	15	11	194
OG0000140	25	21	10	14	16	1	7	12	3	15	15	16	8	10	19	192
OG0000141	3	13	8	9	23	13	1	31	4	2	14	14	7	10	38	190
OG0000142	14	12	9	12	12	3	4	5	2	74	12	10	9	3	9	190
OG0000143	17	7	86	20	7	0	0	26	1	3	16	0	0	1	6	190
OG0000144	10	12	25	32	3	1	7	15	2	17	7	4	7	5	42	189
OG0000145	18	2	22	19	19	1	5	11	4	16	22	24	17	4	4	188
OG0000146	7	13	9	7	28	0	1	21	6	2	37	9	16	11	20	187
OG0000147	0	0	55	129	0	0	0	2	0	0	0	0	0	0	1	187
OG0000148	31	0	12	22	5	0	0	35	5	5	10	15	14	20	12	186
OG0000149	0	1	20	32	7	1	0	45	9	0	24	8	8	4	26	185
OG0000150	31	20	9	27	2	20	20	8	2	35	1	3	4	2	1	185
OG0000151	20	12	7	11	26	4	3	12	3	10	15	29	11	8	12	183
OG0000152	19	1	34	20	2	0	0	47	2	3	2	3	1	3	44	181
OG0000153	28	0	10	19	7	0	1	61	6	1	4	11	6	14	13	181
OG0000154	0	33	1	1	12	0	1	12	0	0	0	3	94	24	0	181
OG0000155	16	26	10	27	1	23	17	10	2	35	1	4	1	3	4	180
OG0000156	0	0	14	7	0	1	0	71	0	0	25	5	23	1	32	179
OG0000157	20	26	6	9	20	1	4	19	3	15	25	13	8	2	8	179
OG0000158	3	26	14	12	17	8	3	23	10	0	20	10	11	12	10	179
OG0000159	9	16	13	15	19	2	5	17	7	12	16	8	17	9	13	178
OG0000160	11	6	7	8	11	22	5	13	5	10	20	28	6	5	21	178
OG0000161	0	1	1	2	0	0	0	171	0	0	1	0	0	0	0	176
OG0000162	0	8	17	31	15	19	3	16	5	0	15	7	11	13	15	175
OG0000163	0	0	15	25	17	2	0	18	14	0	20	12	19	11	22	175
OG0000164	45	10	11	19	2	1	3	14	1	40	8	5	2	2	11	174
OG0000165	27	2	21	21	8	0	0	22	3	2	14	2	18	13	21	174
OG0000166	10	20	11	11	4	0	6	44	0	0	2	0	30	1	35	174
OG0000167	6	29	14	14	23	0	0	23	0	6	3	0	28	20	8	174
OG0000168	0	0	16	29	37	0	0	18	0	0	29	1	21	22	1	174
OG0000169	29	4	13	11	15	1	7	18	8	6	14	9	8	9	21	173
OG0000170	30	9	2	3	27	0	0	55	3	5	15	8	3	7	6	173
OG0000171	18	12	10	14	12	1	6	23	10	1	19	12	14	6	15	173
